workload_id,role_id,workload_name,time_pct,directive_pct,feedback_loop_pct,task_iteration_pct,learning_pct,validation_pct,negligibility_pct
WL-0001,CL-001,Document Processing,50,24,13,12,16,19,16
WL-0002,CL-001,Data Entry & Validation,33,44,24,6,0,24,2
WL-0003,CL-001,Reporting & Compliance,17,18,18,19,5,33,7
WL-0004,CL-002,Customer Communication,25,5,7,22,15,10,41
WL-0005,CL-002,Investigation & Analysis,15,6,7,24,29,18,16
WL-0006,CL-002,Data Entry & Validation,20,34,23,9,0,26,8
WL-0007,CL-002,Reporting & Compliance,10,16,16,11,13,29,15
WL-0008,CL-002,Document Processing,30,30,15,20,8,11,16
WL-0009,CL-003,Data Entry & Validation,27,35,18,12,10,24,1
WL-0010,CL-003,Document Processing,40,23,14,12,14,13,24
WL-0011,CL-003,Investigation & Analysis,20,9,5,26,27,15,18
WL-0012,CL-003,Reporting & Compliance,13,18,12,17,11,28,14
WL-0013,CL-004,Data Entry & Validation,27,36,21,9,1,23,10
WL-0014,CL-004,Document Processing,40,23,12,18,11,14,22
WL-0015,CL-004,Investigation & Analysis,20,7,7,25,23,19,19
WL-0016,CL-004,Reporting & Compliance,13,21,12,17,10,30,10
WL-0017,CL-005,Customer Communication,36,5,0,19,14,20,42
WL-0018,CL-005,Reporting & Compliance,14,23,15,18,6,29,9
WL-0019,CL-005,Data Entry & Validation,29,37,21,12,4,26,0
WL-0020,CL-005,Investigation & Analysis,21,9,5,27,25,17,17
WL-0021,CL-006,Document Processing,35,27,10,14,13,12,24
WL-0022,CL-006,Data Entry & Validation,24,28,22,8,9,25,8
WL-0023,CL-006,Customer Communication,29,6,2,20,12,15,45
WL-0024,CL-006,Reporting & Compliance,12,16,21,16,13,27,7
WL-0025,CL-007,Data Entry & Validation,24,40,16,6,7,22,9
WL-0026,CL-007,Customer Communication,29,5,2,25,17,15,36
WL-0027,CL-007,Document Processing,35,22,17,18,10,12,21
WL-0028,CL-007,Reporting & Compliance,12,17,13,15,14,32,9
WL-0029,CL-008,Reporting & Compliance,10,17,16,10,15,34,8
