role_id,role_name,current_hc,gross_freed_hrs_pp,redistributed_hrs_pp,net_freed_hrs_pp,freed_pct,net_freed_ftes,reducible_ftes,projected_hc,reduction_pct,salary_savings,productivity_savings
CL-001,Claims Intake Specialist,120,80.2,28.1,52.1,50.0,48.8,48,72,40.0,2304000.0,16202.0
CL-002,Claims Adjuster,95,72.5,25.4,47.2,45.3,35.0,34,61,35.8,1870000.0,21887.0
CL-003,Claims Data Entry Clerk,80,82.3,28.8,53.5,51.4,33.4,33,47,41.2,1254000.0,6355.0
CL-004,Claims Examiner,45,75.5,26.4,49.1,47.2,18.4,18,27,40.0,1116000.0,9225.0
CL-005,Claims Processor,60,53.5,18.7,34.8,33.4,16.3,16,44,26.7,704000.0,5176.0
CL-006,Fraud Detection Analyst,20,67.6,23.6,43.9,42.2,7.3,7,13,35.0,504000.0,8595.0
CL-007,Claims Team Lead,20,74.7,26.1,48.5,46.6,10.1,10,10,50.0,680000.0,2234.0
CL-008,Claims Support Coordinator,10,71.3,25.0,46.4,44.6,3.6,3,7,30.0,126000.0,10457.0
CL-009,Claims Review Specialist,40,78.3,27.4,50.9,48.9,17.0,16,24,40.0,1088000.0,24608.0
CL-010,Quality Assurance Auditor,30,71.8,25.1,46.6,45.3,11.7,11,19,36.7,792000.0,17873.0
CL-011,Claims Review Manager,15,86.9,30.4,56.5,54.3,8.8,8,7,53.3,680000.0,21114.0
CL-012,Sr. Director Claims,5,68.8,24.1,44.7,43.0,3.1,3,2,60.0,405000.0,3176.0
