task_id,workload_id,task_name,category,effort_hours_month,automatable_by_tool,compliance_mandated_human
TK-0001,WL-0001,Flag missing information,feedback_loop,26.7,Custom Claims AI,False
TK-0002,WL-0001,Verify document completeness,validation,26.7,Custom Claims AI,False
TK-0003,WL-0001,Classify document type,directive,26.7,Custom Claims AI,False
TK-0004,WL-0002,Enter claim data into system,directive,10.6,UiPath RPA,False
TK-0005,WL-0002,Validate coverage amounts,validation,10.6,Custom Claims AI,False
TK-0006,WL-0002,Flag data inconsistencies,directive,10.6,Custom Claims AI,False
TK-0007,WL-0002,Cross-reference policy details,feedback_loop,10.6,UiPath RPA,False
TK-0008,WL-0002,Reconcile multi-source data,task_iteration,10.6,UiPath RPA,False
TK-0009,WL-0003,Generate compliance reports,directive,6.8,Microsoft Copilot,False
TK-0010,WL-0003,Review reports for accuracy,validation,6.8,,True
TK-0011,WL-0003,Update compliance checklists,feedback_loop,6.8,Microsoft Copilot,False
TK-0012,WL-0003,Track regulatory deadlines,directive,6.8,ServiceNow AI,False
TK-0013,WL-0004,Respond to customer inquiries,negligibility,10.0,,False
TK-0014,WL-0004,Draft status update emails,directive,10.0,Microsoft Copilot,False
TK-0015,WL-0004,Conduct empathy-driven interviews,negligibility,10.0,,True
TK-0016,WL-0004,Schedule follow-up calls,directive,10.0,Microsoft Copilot,False
TK-0017,WL-0005,Develop investigation strategy,negligibility,8.0,,True
TK-0018,WL-0005,Research applicable regulations,learning,8.0,Microsoft Copilot,False
TK-0019,WL-0005,Assess damage severity,negligibility,8.0,,True
TK-0020,WL-0006,Enter claim data into system,directive,8.0,UiPath RPA,False
TK-0021,WL-0006,Reconcile multi-source data,task_iteration,8.0,UiPath RPA,False
TK-0022,WL-0006,Cross-reference policy details,feedback_loop,8.0,UiPath RPA,False
TK-0023,WL-0006,Flag data inconsistencies,directive,8.0,Custom Claims AI,False
TK-0024,WL-0007,Review reports for accuracy,validation,4.0,,True
TK-0025,WL-0007,Track regulatory deadlines,directive,4.0,ServiceNow AI,False
TK-0026,WL-0007,Update compliance checklists,feedback_loop,4.0,Microsoft Copilot,False
TK-0027,WL-0007,Generate compliance reports,directive,4.0,Microsoft Copilot,False
TK-0028,WL-0008,Route to appropriate handler,directive,12.0,ServiceNow AI,False
TK-0029,WL-0008,Flag missing information,feedback_loop,12.0,Custom Claims AI,False
TK-0030,WL-0008,Verify document completeness,validation,12.0,Custom Claims AI,False
TK-0031,WL-0008,Extract data from claim forms,directive,12.0,UiPath RPA,False
TK-0032,WL-0009,Cross-reference policy details,feedback_loop,10.8,UiPath RPA,False
TK-0033,WL-0009,Enter claim data into system,directive,10.8,UiPath RPA,False
TK-0034,WL-0009,Validate coverage amounts,validation,10.8,Custom Claims AI,False
TK-0035,WL-0009,Reconcile multi-source data,task_iteration,10.8,UiPath RPA,False
TK-0036,WL-0010,Flag missing information,feedback_loop,16.0,Custom Claims AI,False
TK-0037,WL-0010,Classify document type,directive,16.0,Custom Claims AI,False
TK-0038,WL-0010,Extract data from claim forms,directive,16.0,UiPath RPA,False
TK-0039,WL-0010,Route to appropriate handler,directive,16.0,ServiceNow AI,False
TK-0040,WL-0011,Develop investigation strategy,negligibility,8.0,,True
TK-0041,WL-0011,Assess damage severity,negligibility,8.0,,True
TK-0042,WL-0011,Compile evidence summary,task_iteration,8.0,Microsoft Copilot,False
TK-0043,WL-0011,Analyze claim patterns,learning,8.0,Custom Claims AI,False
TK-0044,WL-0012,Review reports for accuracy,validation,5.2,,True
TK-0045,WL-0012,Update compliance checklists,feedback_loop,5.2,Microsoft Copilot,False
TK-0046,WL-0012,Generate compliance reports,directive,5.2,Microsoft Copilot,False
TK-0047,WL-0012,Track regulatory deadlines,directive,5.2,ServiceNow AI,False
TK-0048,WL-0013,Validate coverage amounts,validation,8.6,Custom Claims AI,False
TK-0049,WL-0013,Reconcile multi-source data,task_iteration,8.6,UiPath RPA,False
TK-0050,WL-0013,Flag data inconsistencies,directive,8.6,Custom Claims AI,False
TK-0051,WL-0013,Cross-reference policy details,feedback_loop,8.6,UiPath RPA,False
TK-0052,WL-0013,Enter claim data into system,directive,8.6,UiPath RPA,False
TK-0053,WL-0014,Verify document completeness,validation,12.8,Custom Claims AI,False
TK-0054,WL-0014,Classify document type,directive,12.8,Custom Claims AI,False
TK-0055,WL-0014,Flag missing information,feedback_loop,12.8,Custom Claims AI,False
TK-0056,WL-0014,Route to appropriate handler,directive,12.8,ServiceNow AI,False
TK-0057,WL-0014,Extract data from claim forms,directive,12.8,UiPath RPA,False
TK-0058,WL-0015,Develop investigation strategy,negligibility,8.0,,True
TK-0059,WL-0015,Assess damage severity,negligibility,8.0,,True
TK-0060,WL-0015,Compile evidence summary,task_iteration,8.0,Microsoft Copilot,False
TK-0061,WL-0015,Research applicable regulations,learning,8.0,Microsoft Copilot,False
TK-0062,WL-0016,Generate compliance reports,directive,5.2,Microsoft Copilot,False
TK-0063,WL-0016,Review reports for accuracy,validation,5.2,,True
TK-0064,WL-0016,Track regulatory deadlines,directive,5.2,ServiceNow AI,False
TK-0065,WL-0016,Update compliance checklists,feedback_loop,5.2,Microsoft Copilot,False
TK-0066,WL-0017,Conduct empathy-driven interviews,negligibility,19.2,,True
TK-0067,WL-0017,Draft status update emails,directive,19.2,Microsoft Copilot,False
TK-0068,WL-0017,Negotiate settlement terms,negligibility,19.2,,True
TK-0069,WL-0018,Review reports for accuracy,validation,5.6,,True
TK-0070,WL-0018,Generate compliance reports,directive,5.6,Microsoft Copilot,False
TK-0071,WL-0018,Track regulatory deadlines,directive,5.6,ServiceNow AI,False
TK-0072,WL-0018,Update compliance checklists,feedback_loop,5.6,Microsoft Copilot,False
TK-0073,WL-0019,Reconcile multi-source data,task_iteration,11.6,UiPath RPA,False
TK-0074,WL-0019,Validate coverage amounts,validation,11.6,Custom Claims AI,False
TK-0075,WL-0019,Flag data inconsistencies,directive,11.6,Custom Claims AI,False
TK-0076,WL-0019,Enter claim data into system,directive,11.6,UiPath RPA,False
TK-0077,WL-0020,Analyze claim patterns,learning,11.2,Custom Claims AI,False
TK-0078,WL-0020,Assess damage severity,negligibility,11.2,,True
TK-0079,WL-0020,Research applicable regulations,learning,11.2,Microsoft Copilot,False
TK-0080,WL-0021,Route to appropriate handler,directive,18.7,ServiceNow AI,False
TK-0081,WL-0021,Verify document completeness,validation,18.7,Custom Claims AI,False
TK-0082,WL-0021,Flag missing information,feedback_loop,18.7,Custom Claims AI,False
TK-0083,WL-0022,Enter claim data into system,directive,9.6,UiPath RPA,False
TK-0084,WL-0022,Validate coverage amounts,validation,9.6,Custom Claims AI,False
TK-0085,WL-0022,Cross-reference policy details,feedback_loop,9.6,UiPath RPA,False
TK-0086,WL-0022,Flag data inconsistencies,directive,9.6,Custom Claims AI,False
TK-0087,WL-0023,Respond to customer inquiries,negligibility,11.6,,False
TK-0088,WL-0023,Conduct empathy-driven interviews,negligibility,11.6,,True
TK-0089,WL-0023,Negotiate settlement terms,negligibility,11.6,,True
TK-0090,WL-0023,Schedule follow-up calls,directive,11.6,Microsoft Copilot,False
TK-0091,WL-0024,Track regulatory deadlines,directive,4.8,ServiceNow AI,False
TK-0092,WL-0024,Update compliance checklists,feedback_loop,4.8,Microsoft Copilot,False
TK-0093,WL-0024,Review reports for accuracy,validation,4.8,,True
TK-0094,WL-0024,Generate compliance reports,directive,4.8,Microsoft Copilot,False
TK-0095,WL-0025,Enter claim data into system,directive,9.6,UiPath RPA,False
TK-0096,WL-0025,Flag data inconsistencies,directive,9.6,Custom Claims AI,False
TK-0097,WL-0025,Reconcile multi-source data,task_iteration,9.6,UiPath RPA,False
TK-0098,WL-0025,Validate coverage amounts,validation,9.6,Custom Claims AI,False
TK-0099,WL-0026,Schedule follow-up calls,directive,11.6,Microsoft Copilot,False
TK-0100,WL-0026,Negotiate settlement terms,negligibility,11.6,,True
TK-0101,WL-0026,Draft status update emails,directive,11.6,Microsoft Copilot,False
TK-0102,WL-0026,Respond to customer inquiries,negligibility,11.6,,False
TK-0103,WL-0027,Verify document completeness,validation,18.7,Custom Claims AI,False
TK-0104,WL-0027,Extract data from claim forms,directive,18.7,UiPath RPA,False
TK-0105,WL-0027,Classify document type,directive,18.7,Custom Claims AI,False
TK-0106,WL-0028,Review reports for accuracy,validation,4.8,,True
TK-0107,WL-0028,Update compliance checklists,feedback_loop,4.8,Microsoft Copilot,False
TK-0108,WL-0028,Track regulatory deadlines,directive,4.8,ServiceNow AI,False
TK-0109,WL-0028,Generate compliance reports,directive,4.8,Microsoft Copilot,False
TK-0110,WL-0029,Track regulatory deadlines,directive,5.3,ServiceNow AI,False
TK-0111,WL-0029,Update compliance checklists,feedback_loop,5.3,Microsoft Copilot,False
TK-0112,WL-0029,Generate compliance reports,directive,5.3,Microsoft Copilot,False
TK-0113,WL-0030,Compile evidence summary,task_iteration,6.0,Microsoft Copilot,False
TK-0114,WL-0030,Research applicable regulations,learning,6.0,Microsoft Copilot,False
TK-0115,WL-0030,Assess damage severity,negligibility,6.0,,True
TK-0116,WL-0030,Analyze claim patterns,learning,6.0,Custom Claims AI,False
TK-0117,WL-0031,Verify document completeness,validation,9.6,Custom Claims AI,False
TK-0118,WL-0031,Flag missing information,feedback_loop,9.6,Custom Claims AI,False
TK-0119,WL-0031,Extract data from claim forms,directive,9.6,UiPath RPA,False
TK-0120,WL-0031,Route to appropriate handler,directive,9.6,ServiceNow AI,False
TK-0121,WL-0031,Classify document type,directive,9.6,Custom Claims AI,False
TK-0122,WL-0032,Validate coverage amounts,validation,10.7,Custom Claims AI,False
TK-0123,WL-0032,Flag data inconsistencies,directive,10.7,Custom Claims AI,False
TK-0124,WL-0032,Enter claim data into system,directive,10.7,UiPath RPA,False
TK-0125,WL-0033,Respond to customer inquiries,negligibility,13.3,,False
TK-0126,WL-0033,Conduct empathy-driven interviews,negligibility,13.3,,True
TK-0127,WL-0033,Schedule follow-up calls,directive,13.3,Microsoft Copilot,False
TK-0128,WL-0034,Negotiate settlement terms,negligibility,8.0,,True
TK-0129,WL-0034,Schedule follow-up calls,directive,8.0,Microsoft Copilot,False
TK-0130,WL-0034,Conduct empathy-driven interviews,negligibility,8.0,,True
TK-0131,WL-0034,Draft status update emails,directive,8.0,Microsoft Copilot,False
TK-0132,WL-0034,Respond to customer inquiries,negligibility,8.0,,False
TK-0133,WL-0035,Flag missing information,feedback_loop,16.0,Custom Claims AI,False
TK-0134,WL-0035,Route to appropriate handler,directive,16.0,ServiceNow AI,False
TK-0135,WL-0035,Classify document type,directive,16.0,Custom Claims AI,False
TK-0136,WL-0036,Assess damage severity,negligibility,8.0,,True
TK-0137,WL-0036,Research applicable regulations,learning,8.0,Microsoft Copilot,False
TK-0138,WL-0036,Develop investigation strategy,negligibility,8.0,,True
TK-0139,WL-0037,Track regulatory deadlines,directive,4.0,ServiceNow AI,False
TK-0140,WL-0037,Update compliance checklists,feedback_loop,4.0,Microsoft Copilot,False
TK-0141,WL-0037,Generate compliance reports,directive,4.0,Microsoft Copilot,False
TK-0142,WL-0037,Review reports for accuracy,validation,4.0,,True
TK-0143,WL-0038,Enter claim data into system,directive,8.0,UiPath RPA,False
TK-0144,WL-0038,Flag data inconsistencies,directive,8.0,Custom Claims AI,False
TK-0145,WL-0038,Cross-reference policy details,feedback_loop,8.0,UiPath RPA,False
TK-0146,WL-0038,Reconcile multi-source data,task_iteration,8.0,UiPath RPA,False
TK-0147,WL-0039,Flag missing information,feedback_loop,24.5,Custom Claims AI,False
TK-0148,WL-0039,Extract data from claim forms,directive,24.5,UiPath RPA,False
TK-0149,WL-0039,Verify document completeness,validation,24.5,Custom Claims AI,False
TK-0150,WL-0040,Conduct empathy-driven interviews,negligibility,15.2,,True
TK-0151,WL-0040,Draft status update emails,directive,15.2,Microsoft Copilot,False
TK-0152,WL-0040,Schedule follow-up calls,directive,15.2,Microsoft Copilot,False
TK-0153,WL-0040,Respond to customer inquiries,negligibility,15.2,,False
TK-0154,WL-0041,Track regulatory deadlines,directive,6.0,ServiceNow AI,False
TK-0155,WL-0041,Review reports for accuracy,validation,6.0,,True
TK-0156,WL-0041,Generate compliance reports,directive,6.0,Microsoft Copilot,False
TK-0157,WL-0041,Update compliance checklists,feedback_loop,6.0,Microsoft Copilot,False
TK-0158,WL-0042,Reconcile multi-source data,task_iteration,9.6,UiPath RPA,False
TK-0159,WL-0042,Cross-reference policy details,feedback_loop,9.6,UiPath RPA,False
TK-0160,WL-0042,Enter claim data into system,directive,9.6,UiPath RPA,False
TK-0161,WL-0042,Flag data inconsistencies,directive,9.6,Custom Claims AI,False
TK-0162,WL-0043,Conduct empathy-driven interviews,negligibility,11.6,,True
TK-0163,WL-0043,Draft status update emails,directive,11.6,Microsoft Copilot,False
TK-0164,WL-0043,Respond to customer inquiries,negligibility,11.6,,False
TK-0165,WL-0043,Schedule follow-up calls,directive,11.6,Microsoft Copilot,False
TK-0166,WL-0044,Route to appropriate handler,directive,14.0,ServiceNow AI,False
TK-0167,WL-0044,Verify document completeness,validation,14.0,Custom Claims AI,False
TK-0168,WL-0044,Extract data from claim forms,directive,14.0,UiPath RPA,False
TK-0169,WL-0044,Flag missing information,feedback_loop,14.0,Custom Claims AI,False
TK-0170,WL-0045,Track regulatory deadlines,directive,6.4,ServiceNow AI,False
TK-0171,WL-0045,Generate compliance reports,directive,6.4,Microsoft Copilot,False
TK-0172,WL-0045,Update compliance checklists,feedback_loop,6.4,Microsoft Copilot,False
TK-0173,WL-0046,Compile evidence summary,task_iteration,10.0,Microsoft Copilot,False
TK-0174,WL-0046,Assess damage severity,negligibility,10.0,,True
TK-0175,WL-0046,Analyze claim patterns,learning,10.0,Custom Claims AI,False
TK-0176,WL-0046,Develop investigation strategy,negligibility,10.0,,True
TK-0177,WL-0047,Enter claim data into system,directive,13.2,UiPath RPA,False
TK-0178,WL-0047,Cross-reference policy details,feedback_loop,13.2,UiPath RPA,False
TK-0179,WL-0047,Validate coverage amounts,validation,13.2,Custom Claims AI,False
