scenario_id,scenario_family,scenario_name,direction,target_scope,target_functions,target_roles,tools,deployment_months,adoption_phases,alpha_adopt,alpha_expand,alpha_extend,s_curve_k,s_curve_midpoint,hc_policy,redistribution_mode,readiness_threshold,budget_total,max_risk_level,time_horizon_months,objective,events,notes,budget_allocations_json,category_targets_json,compare_with,competitor_automation_growth_pct,deployment_start_month,levels_to_merge,merge_sub_functions,min_quality,natural_attrition_annual_pct,new_role_name,options_json,output_constraint,proficiency_lift,quality_threshold,quantity_needed,reduction_start_month,reskilling_duration_months,reskilling_start_month,reskilling_target_hc,salary_inflation_annual_pct,skill_need,sweep_parameter,sweep_range,target_hc_change_pct,target_metric,target_output_change_pct,target_value,target_value_json,task_sources,urgency,workflow_handoffs_eliminated,workflow_nonlinear_bonus_pct,workstreams_json
SC-1.1,technology_injection,Copilot → Claims Processing,forward,Claims Processing,Claims,,Microsoft Copilot,1,adoption,0.6,0.0,0.0,0.3,4,moderate_reduction,absorb_adjacent,0,500000,medium,36,maximize_savings,[],"Basic cascade validation — single tool, single function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-1.2,technology_injection,Copilot → All Functions,forward,ALL,"Claims,Technology,Finance,People",,Microsoft Copilot,1,adoption,0.6,0.0,0.0,0.3,4,moderate_reduction,absorb_adjacent,0,2000000,medium,36,maximize_savings,[],"Same tool, all functions — proves human system variation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-1.5,technology_injection,Adoption Gap Only (Free Money),forward,ALL,"Claims,Technology,Finance,People",,ALL_DEPLOYED,1,adoption,0.5,0.0,0.0,0.3,4,natural_attrition,hybrid,0,200000,low,36,maximize_savings,[],"Close adoption gap on already-deployed tools — near-zero cost, immediate value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-5.2,output_target,"Maintain Output, -20% Claims HC",inverse,Claims,Claims,,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,moderate_reduction,automate_first,50,3000000,medium,24,maintain_output,[],"Core business case — same work, fewer people",,,,,,,,,,,,maintain_current_volume,,,,,,,,,,,,,headcount_reduction_pct,,20,,,,,,
SC-7.1,function_transformation,Claims Phased Transformation,forward,Claims,Claims,,"UiPath RPA,Custom Claims AI,Microsoft Copilot","1,7,13","adoption,expansion,extension",0.7,0.4,0.2,0.3,4,moderate_reduction,hybrid,45,4000000,high,36,maximize_savings,[],Full function transformation — 3 phases with staggered tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-10.6,baseline,Do Nothing (Cost of Inaction),forward,ALL,"Claims,Technology,Finance,People",,,,,0.0,0.0,0.0,0.0,0,no_change,none,0,0,low,36,baseline,[],"Baseline — growing cost, increasing competitive gap",,,,10,,,,,8,,,,,,,,,,,3,,,,,,,,,,,,,
SC-6.1,role_transformation,Redesign Claims Adjuster,forward,CL-002,Claims,CL-002,"Microsoft Copilot,Custom Claims AI","1,1",adoption,0.6,0.0,0.0,0.3,4,role_redesign,absorb_adjacent,0,300000,medium,24,role_redesign,[],"Single role deep dive — future JD, skill shift, adjacency impact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-8.1,skill_intervention,Claims AI Academy,forward,Claims,Claims,,,,,0.0,0.0,0.0,0.0,0,no_change,none,0,500000,low,24,build_capability,[],Reskilling only — no tech deployment. Proves R2 proficiency flywheel.,,,,,,,,,,,,,25,,,,6,,450,,,,,,,,,,,,,,
SC-2.1,headcount_target,Reduce 15% Org-Wide,inverse,ALL,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,managed_reduction,hybrid,50,5000000,medium,24,achieve_target,[],"Inverse: what tools, budget, timeline to reach 15% HC reduction?",,,,,,,,,,,,,,,,,,,,,,,,,headcount_reduction_pct,,15,,,,,,
SC-2.2,headcount_target,Differentiated Function Targets,inverse,MULTI,"Claims,Technology,Finance,People",,ALL_AVAILABLE,,"adoption,expansion",0.6,0.3,0.0,0.3,4,managed_reduction,hybrid,0,6000000,high,24,achieve_target,[],"Claims -25%, Tech flat, Finance -10%, People -15%. Feasibility per function.",,,,,,,,,,,,,,,,,,,,,,,,,headcount_by_function,,,"{""Claims"": -25, ""Technology"": 0, ""Finance"": -10, ""People"": -15}",,,,,
