role_id,role_name,function,sub_function,jfg,management_level,headcount,avg_salary,annual_cost,automation_score,augmentation_score,l1_etter_ceiling,l2_achievable,l3_realized,adoption_gap_pct,capability_gap_pct,total_gap_pct,adoption_gap_hours,capability_gap_hours,adoption_gap_savings_annual,full_gap_savings_annual,adoption_gap_fte,compliance_tasks,total_tasks,redesign_candidate
CL-001,Claims Intake Specialist,Claims,Claims Processing,Claims Operations,Individual Contributor,120,48000.0,5760000.0,42.5,18.2,71.9,68.38,8.94,59.44,3.52,62.96,11434.8,676.8,3430440.0,3633480.0,71.5,1,12,True
CL-002,Claims Adjuster,Claims,Claims Processing,Claims Operations,Individual Contributor,95,55000.0,5225000.0,28.3,22.5,60.12,56.38,9.42,46.96,3.75,50.71,7137.3,570.0,2453464.0,2649402.0,44.6,4,19,True
CL-003,Claims Data Entry Clerk,Claims,Claims Processing,Claims Operations,Individual Contributor,80,38000.0,3040000.0,56.8,10.5,67.5,63.46,10.63,52.84,4.04,56.87,6763.1,516.8,1606241.0,1728981.0,42.3,3,16,True
CL-004,Claims Examiner,Claims,Claims Processing,Claims Operations,Senior IC,45,62000.0,2790000.0,18.5,28.3,65.21,61.85,9.88,51.97,3.35,55.33,3737.4,241.2,1448254.0,1541719.0,23.4,3,18,True
CL-005,Claims Processor,Claims,Claims Processing,Claims Operations,Individual Contributor,60,44000.0,2640000.0,48.2,15.8,47.34,41.99,6.31,35.68,5.35,41.03,3425.0,513.6,941886.0,1083126.0,21.4,4,14,True
CL-006,Fraud Detection Analyst,Claims,Claims Processing,Claims Operations,Senior IC,20,72000.0,1440000.0,22.0,30.5,59.99,58.75,9.49,49.26,1.24,50.49,1577.2,39.6,709736.0,727556.0,9.9,3,15,True
CL-007,Claims Team Lead,Claims,Claims Processing,Claims Operations,Manager,20,68000.0,1360000.0,12.5,20.8,64.63,60.76,8.99,51.77,3.87,55.65,1657.8,124.0,704552.0,757252.0,10.4,2,15,True
CL-008,Claims Support Coordinator,Claims,Claims Processing,Claims Operations,Individual Contributor,10,42000.0,420000.0,38.0,16.0,61.24,60.22,9.26,50.96,1.02,51.98,814.9,16.3,213912.0,218191.0,5.1,2,18,True
CL-009,Claims Review Specialist,Claims,Claims Review,Claims Management,Senior IC,40,68000.0,2720000.0,15.0,28.0,61.25,57.38,9.07,48.31,3.88,52.18,3091.6,248.0,1313930.0,1419330.0,19.3,5,19,True
CL-010,Quality Assurance Auditor,Claims,Claims Review,Claims Management,Senior IC,30,72000.0,2160000.0,20.5,25.0,62.53,61.38,9.24,52.14,1.15,53.29,2476.1,54.6,1114236.0,1138806.0,15.5,2,11,True
