skill_id,workload_id,skill_name,skill_type,proficiency_required,is_sunrise,is_sunset
SK-0001,WL-0001,insurance regulation,current,80,False,False
SK-0002,WL-0001,claims processing,current,70,False,False
SK-0003,WL-0001,investigation,current,70,False,False
SK-0004,WL-0001,automation oversight,sunrise,60,True,False
SK-0005,WL-0001,manual data entry,sunset,70,False,True
SK-0006,WL-0002,insurance regulation,current,70,False,False
SK-0007,WL-0002,attention to detail,current,70,False,False
SK-0008,WL-0002,data entry,current,70,False,False
SK-0009,WL-0002,AI-assisted triage,sunrise,60,True,False
SK-0010,WL-0002,manual form processing,sunset,70,False,True
SK-0011,WL-0003,customer service,current,80,False,False
SK-0012,WL-0003,data entry,current,70,False,False
SK-0013,WL-0003,investigation,current,60,False,False
SK-0014,WL-0003,AI-assisted triage,sunrise,40,True,False
SK-0015,WL-0003,manual form processing,sunset,60,False,True
SK-0016,WL-0004,documentation,current,60,False,False
SK-0017,WL-0004,data entry,current,70,False,False
SK-0018,WL-0004,investigation,current,70,False,False
SK-0019,WL-0004,automation oversight,sunrise,40,True,False
SK-0020,WL-0005,documentation,current,60,False,False
SK-0021,WL-0005,customer service,current,60,False,False
SK-0022,WL-0005,data entry,current,60,False,False
SK-0023,WL-0005,AI-assisted triage,sunrise,50,True,False
SK-0024,WL-0006,insurance regulation,current,60,False,False
SK-0025,WL-0006,attention to detail,current,80,False,False
SK-0026,WL-0006,data entry,current,70,False,False
SK-0027,WL-0006,AI output validation,sunrise,60,True,False
SK-0028,WL-0006,manual data entry,sunset,70,False,True
SK-0029,WL-0007,documentation,current,60,False,False
SK-0030,WL-0007,customer service,current,80,False,False
SK-0031,WL-0007,attention to detail,current,80,False,False
SK-0032,WL-0007,prompt engineering,sunrise,50,True,False
SK-0033,WL-0007,manual form processing,sunset,50,False,True
SK-0034,WL-0008,insurance regulation,current,70,False,False
SK-0035,WL-0008,investigation,current,60,False,False
SK-0036,WL-0008,attention to detail,current,70,False,False
SK-0037,WL-0008,digital workflow management,sunrise,60,True,False
SK-0038,WL-0008,routine document classification,sunset,60,False,True
SK-0039,WL-0009,investigation,current,80,False,False
SK-0040,WL-0009,documentation,current,60,False,False
SK-0041,WL-0009,insurance regulation,current,60,False,False
SK-0042,WL-0009,AI output validation,sunrise,50,True,False
SK-0043,WL-0009,manual report generation,sunset,70,False,True
SK-0044,WL-0010,data entry,current,60,False,False
SK-0045,WL-0010,investigation,current,60,False,False
SK-0046,WL-0010,documentation,current,70,False,False
SK-0047,WL-0010,AI-assisted triage,sunrise,50,True,False
SK-0048,WL-0010,manual report generation,sunset,70,False,True
SK-0049,WL-0011,documentation,current,80,False,False
SK-0050,WL-0011,customer service,current,80,False,False
SK-0051,WL-0011,insurance regulation,current,80,False,False
SK-0052,WL-0011,prompt engineering,sunrise,40,True,False
SK-0053,WL-0012,data entry,current,60,False,False
SK-0054,WL-0012,documentation,current,80,False,False
SK-0055,WL-0012,claims processing,current,60,False,False
SK-0056,WL-0012,AI output validation,sunrise,40,True,False
SK-0057,WL-0012,manual form processing,sunset,60,False,True
SK-0058,WL-0013,attention to detail,current,80,False,False
SK-0059,WL-0013,insurance regulation,current,70,False,False
SK-0060,WL-0013,customer service,current,60,False,False
SK-0061,WL-0013,AI output validation,sunrise,40,True,False
SK-0062,WL-0013,routine document classification,sunset,50,False,True
SK-0063,WL-0014,attention to detail,current,80,False,False
SK-0064,WL-0014,customer service,current,60,False,False
SK-0065,WL-0014,documentation,current,80,False,False
SK-0066,WL-0014,prompt engineering,sunrise,60,True,False
SK-0067,WL-0014,manual form processing,sunset,50,False,True
SK-0068,WL-0015,attention to detail,current,70,False,False
SK-0069,WL-0015,documentation,current,80,False,False
SK-0070,WL-0015,investigation,current,60,False,False
SK-0071,WL-0015,AI-assisted triage,sunrise,40,True,False
SK-0072,WL-0016,claims processing,current,70,False,False
SK-0073,WL-0016,attention to detail,current,80,False,False
SK-0074,WL-0016,documentation,current,60,False,False
SK-0075,WL-0016,digital workflow management,sunrise,50,True,False
SK-0076,WL-0016,manual data entry,sunset,60,False,True
SK-0077,WL-0017,attention to detail,current,80,False,False
SK-0078,WL-0017,documentation,current,70,False,False
SK-0079,WL-0017,customer service,current,70,False,False
SK-0080,WL-0017,prompt engineering,sunrise,60,True,False
SK-0081,WL-0018,data entry,current,60,False,False
SK-0082,WL-0018,customer service,current,80,False,False
SK-0083,WL-0018,investigation,current,60,False,False
SK-0084,WL-0018,prompt engineering,sunrise,50,True,False
SK-0085,WL-0018,manual report generation,sunset,60,False,True
SK-0086,WL-0019,data entry,current,80,False,False
SK-0087,WL-0019,insurance regulation,current,60,False,False
SK-0088,WL-0019,customer service,current,70,False,False
SK-0089,WL-0019,AI output validation,sunrise,60,True,False
SK-0090,WL-0019,routine document classification,sunset,60,False,True
SK-0091,WL-0020,insurance regulation,current,80,False,False
SK-0092,WL-0020,customer service,current,60,False,False
